Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
214934599,2020.11.30 17:46:09,buy,0.20,gbpusd,1.33262,0.00000,0.00000,2020.12.01 18:18:23,1.34214,-1.40,0.00,-0.63,190.40
214887962,2020.11.30 16:15:24,buy,0.20,gbpusd,1.33693,0.00000,0.00000,2020.12.01 18:18:19,1.34215,-1.40,0.00,-0.63,104.40
214669109,2020.11.27 18:26:36,buy,0.20,gbpusd,1.33328,0.00000,0.00000,2020.12.01 18:18:23,1.34221,-1.40,0.00,-1.26,178.60
214422782,2020.11.26 14:19:02,buy,0.20,gbpusd,1.33464,0.00000,0.00000,2020.12.01 18:18:21,1.34217,-1.40,0.00,-2.22,150.60
214422752,2020.11.26 14:18:45,buy,0.20,gbpusd,1.33459,0.00000,0.00000,2020.12.01 18:18:17,1.34215,-1.40,0.00,-2.22,151.20
214417457,2020.11.26 13:59:30,buy,0.20,gbpusd,1.33534,0.00000,0.00000,2020.12.01 18:18:20,1.34217,-1.40,0.00,-2.22,136.60
214412132,2020.11.26 13:20:52,buy,0.20,gbpusd,1.33601,0.00000,0.00000,2020.12.01 18:18:16,1.34216,-1.40,0.00,-2.22,123.00
214403626,2020.11.26 12:46:01,buy,0.20,gbpusd,1.33516,0.00000,0.00000,2020.12.01 18:18:15,1.34216,-1.40,0.00,-2.22,140.00
214395847,2020.11.26 12:10:12,buy,0.20,gbpusd,1.33586,0.00000,0.00000,2020.12.01 18:18:14,1.34216,-1.40,0.00,-2.22,126.00
214264605,2020.11.25 18:17:07,sell,0.20,gbpusd,1.33840,0.00000,0.00000,2020.11.26 13:30:52,1.33563,-1.40,0.00,-1.19,55.40
214255344,2020.11.25 17:51:25,buy,0.20,gbpusd,1.33902,0.00000,0.00000,2020.12.01 18:18:13,1.34196,-1.40,0.00,-5.11,58.80
